iata,name,city,country_code,size_rank
KSA,Kosrae International Airport,Okat,FM,0
KSF,Kassel Airport,Calden,DE,0
KSN,Kostanay International Airport,Kostanay,KZ,0
KTI,Techo International Airport,Phnom Penh (Boeng Khyang),KH,0
KTM,Tribhuvan International Airport,Kathmandu,NP,0
KTT,Kittilä International Airport,Kittilä,FI,0
KTW,Katowice Wojciech Korfanty International Airport,Katowice,PL,0
KUF,Kurumoch International Airport,Samara,RU,0
KUL,Kuala Lumpur International Airport,Sepang,MY,0
KUN,Kaunas International Airport,Kaunas,LT,0
KUO,Kuopio Airport,Kuopio / Siilinjärvi,FI,0
KUT,David the Builder Kutaisi International Airport,Kopitnari,GE,0
KVA,Kavala Alexander the Great International Airport,Kavala,GR,0
KWE,Guiyang Longdongbao International Airport,Guiyang (Nanming),CN,0
KWI,Kuwait International Airport,Kuwait City,KW,0
KWL,Guilin Liangjiang International Airport,Guilin (Lingui),CN,0
KYA,Konya Airport,Konya,TR,0
KZN,Kazan International Airport,Kazan,RU,0
KZO,Korkyt Ata International Airport,Kyzylorda,KZ,0
LAD,Quatro de Fevereiro International Airport,Luanda,AO,0
LAE,Nadzab Tomodachi International Airport,Lae,PG,0
LAO,Laoag International Airport,Laoag City,PH,0
LAQ,Al Abraq International Airport,Al Albraq,LY,0
LAS,Harry Reid International Airport,Las Vegas,US,0
LAX,Los Angeles International Airport,Los Angeles,US,0
LBA,Leeds Bradford Airport,"Leeds, West Yorkshire",GB,0
LBD,Khujand International Airport,Khujand,TJ,0
LBV,Libreville Leon M'ba International Airport,Libreville,GA,0
LCA,Larnaca International Airport,Larnaca,CY,0
LCJ,Łódź Władysław Reymont Airport,Łódź,PL,0
LED,Pulkovo Airport,St. Petersburg,RU,0
LEJ,Leipzig/Halle Airport,Schkeuditz,DE,0
LFW,Lomé–Tokoin International Airport,Lomé,TG,0
LGA,LaGuardia Airport,New York,US,0
LGB,Long Beach International Airport,Long Beach,US,0
LGK,Langkawi International Airport,Langkawi,MY,0
LGW,London Gatwick Airport,London,GB,0
LHE,Allama Iqbal International Airport,Lahore,PK,0
LHR,London Heathrow Airport,London,GB,0
LHW,Lanzhou Zhongchuan International Airport,Lanzhou (Yongdeng),CN,0
LIH,Lihue Airport,"Lihue, Kauai",US,0
LIL,Lille Airport,Lesquin,FR,0
LIM,Jorge Chávez International Airport,Lima,PE,0
LIN,Milano Linate Airport,Segrate (MI),IT,0
LIR,Daniel Oduber Quirós International Airport,Liberia,CR,0
LIS,Lisbon Humberto Delgado Airport,Lisbon,PT,0
LJG,Lijiang Sanyi International Airport,Lijiang,CN,0
LJU,Ljubljana Jože Pučnik Airport,Zgornji Brnik,SI,0
LKO,Chaudhary Charan Singh International Airport,Lucknow,IN,0
LLA,Luleå Airport,Luleå,SE,0
LLW,Kamuzu International Airport,Lumbadzi,MW,0
LNZ,Linz-Hörsching Airport,Linz,AT,0
LOP,Lombok International Airport,"Mataram (Pujut, Lombok Tengah)",ID,0
LOS,Murtala Muhammed International Airport,Lagos,NG,0
LPA,Gran Canaria Airport,Gran Canaria Island,ES,0
LPB,El Alto International Airport,La Paz / El Alto,BO,0
LPI,Linköping City Airport,Linköping,SE,0
LPL,Liverpool John Lennon Airport,Liverpool,GB,0
